--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000177> | "maize Colletotrichum graminicola Anthracnose stalk rot fungal disease"^^xsd:string   | <http://purl.obolibrary.org/obo/OOPS_1002999> | "Anthracnose leaf blight and anthracnose stalk rot"                 |
| <http://purl.obolibrary.org/obo/PDO_0000195> | "maize Bipolaris seed rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003063> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000195> | "maize Bipolaris seed rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003064> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000195> | "maize Bipolaris seed rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003062> | "Northern corn leaf spot, Helminthosporium ear rot (race 1)"        |
| <http://purl.obolibrary.org/obo/PDO_0000257> | "maize Nigrospora dry ear rot fungal disease"^^xsd:string                             | <http://purl.obolibrary.org/obo/OOPS_1003006> | "Dry ear rot (cob, kernel and stalk rot)"                           |
| <http://purl.obolibrary.org/obo/PDO_0000255> | "maize Diplodia stalk rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003013> | "Physalospora ear rot (Botryosphaeria ear rot)"                     |
| <http://purl.obolibrary.org/obo/PDO_0000255> | "maize Diplodia stalk rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003012> | "Diplodia ear rot and stalk rot"                                    |
| <http://purl.obolibrary.org/obo/PDO_0000255> | "maize Diplodia stalk rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003014> | "Physalospora ear rot (Botryosphaeria ear rot)"                     |
| <http://purl.obolibrary.org/obo/PDO_0000053> | "rice sheath rot fungal disease"^^xsd:string                                          | <http://purl.obolibrary.org/obo/OOPS_1002852> | "Sheath rot"                                                        |
| <http://purl.obolibrary.org/obo/PDO_0000053> | "rice sheath rot fungal disease"^^xsd:string                                          | <http://purl.obolibrary.org/obo/OOPS_1002851> | "Sheath rot"                                                        |
